hospital,highest_bill
"Abbott and Thompson, Sullivan",16738.57
"Abbott Inc",38052.04
"Abbott Ltd",29877.59
"Abbott Moore and Williams,",24799.60
Abbott-Castillo,18397.74
Abbott-Coleman,19752.00
Abbott-Ferrell,99.93
Abbott-Hill,13260.14
Abbott-Jones,49039.71
Abbott-Martin,48968.88
Abbott-Rios,35798.35
Abbott-Wilson,23968.51
"Abbott, Peters and Hoffman",18842.40
"Abbott, Vazquez Bautista and",14117.14
"Acevedo and Ellis, Snyder",33490.60
"Acevedo and Hart, Hernandez",7148.11
"Acevedo and Howard Burke,",31015.27
"Acevedo and Larson Andrews,",34339.76
"Acevedo and Lewis Barker,",4867.31
"Acevedo Group",25420.54
"Acevedo Holmes and Rangel,",50150.17
"Acevedo LLC",23600.50
"Acevedo Ltd",34196.73
"Acevedo Phillips Steele, and",12363.78
"Acevedo PLC",50050.46
Acevedo-Diaz,21431.17
Acevedo-Goodwin,5900.38
Acevedo-Henderson,13030.31
Acevedo-Lawson,30895.51
"Acevedo, Jordan and Diaz",23316.69
"Acevedo, Martin and Price",44587.35
"Acevedo, Riddle Payne and",22252.00
"Acosta and Tapia Evans,",36093.25
"Acosta Group",40480.72
"Acosta Inc",37086.78
"Acosta LLC",36088.22
"Acosta Ltd",34167.45
"Acosta PLC",9840.05
"Acosta Sons and",5808.69
"Acosta Trujillo Davis, and",12344.73
"Acosta Weeks Yates, and",5036.83
"Acosta Willis, Martin and",24056.83
Acosta-Barnes,24230.82
Acosta-Berry,4981.75
Acosta-Carlson,5321.89
Acosta-Chambers,4112.21
Acosta-Clark,29257.72
Acosta-Davila,10541.96
Acosta-Dickerson,25091.45
Acosta-Miller,5783.74
Acosta-Robertson,37505.62
Acosta-Smith,4391.13
Acosta-Taylor,6380.16
Acosta-Thomas,27692.25
"Acosta, and Martin Torres",17566.32
"Acosta, and Price Jackson",47389.47
"Acosta, and Young Morrow",1857.48
"Acosta, Figueroa Compton and",48430.01
"Acosta, Gordon Smith and",8416.57
"Acosta, Miller Martin and",30129.29
"Acosta, Reed and Guzman",23081.70
"Adams and Brown Benson,",14697.32
"Adams and Campos Cooper,",6172.03
"Adams and Delgado Newman,",27763.57
"Adams and Everett Garza,",35702.64
"Adams and Freeman Oneal,",18654.77
"Adams and Gonzales, Clark",36086.73
"Adams and Roberts Armstrong,",4431.90
"Adams and Smith Olson,",41330.29
"Adams and Sons",47718.78
"Adams and Thomas Williams,",33730.88
"Adams and White, Smith",45292.62
"Adams Baxter, and Peterson",32989.04
"Adams Bell Adams, and",35275.93
"Adams Group",49819.99
"Adams Inc",41883.89
"Adams Lawson, and Fleming",15570.46
"Adams LLC",36244.82
"Adams Ltd",25906.65
"Adams Macias and Arias,",38996.20
"Adams Marshall, Taylor and",38672.11
"Adams Morris, and Griffin",31309.31
"Adams Murphy and Lopez,",20523.14
"Adams Navarro, Gomez and",44461.77
"Adams Novak, and James",40543.85
"Adams Odonnell and Cook,",34444.12
"Adams Patterson, and Pham",41229.73
"Adams Patterson, Lawrence and",37038.01
"Adams PLC",49012.54
"Adams Rivas Duran, and",42637.53
"Adams Smith Cervantes, and",43564.77
"Adams Sons and",9928.93
"Adams Torres Nixon, and",16818.56
"Adams Weaver, and Acosta",30295.74
"Adams West and Poole,",31473.65
"Adams Wilson, Newton and",39133.44
Adams-Bailey,33819.21
Adams-Barnes,32284.55
Adams-Bass,27850.55
Adams-Bell,40135.06
Adams-Bennett,30363.33
Adams-Benson,12865.86
Adams-Best,35296.48
Adams-Black,4974.77
Adams-Castillo,28520.94
